,count,distance,region,service,group,time,colors,bins
4,0.0,8.0,Petone,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Petone,health_services,social_deprivation_1-5,0,black,isolated
0,9630.0,0.0,Lower Hutt,health_services,social_deprivation_1-5,0,#79D151,0-2
1,6474.0,2.0,Lower Hutt,health_services,social_deprivation_1-5,0,#22A784,2-4
2,381.0,4.0,Lower Hutt,health_services,social_deprivation_1-5,0,#29788E,4-6
3,0.0,6.0,Lower Hutt,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Lower Hutt,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Lower Hutt,health_services,social_deprivation_1-5,0,black,isolated
0,0.0,0.0,Western Hutt Hills,health_services,social_deprivation_1-5,0,#79D151,0-2
1,630.0,2.0,Western Hutt Hills,health_services,social_deprivation_1-5,0,#22A784,2-4
2,2883.0,4.0,Western Hutt Hills,health_services,social_deprivation_1-5,0,#29788E,4-6
3,2676.0,6.0,Western Hutt Hills,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Western Hutt Hills,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Western Hutt Hills,health_services,social_deprivation_1-5,0,black,isolated
0,13509.0,0.0,Karori,health_services,social_deprivation_1-5,0,#79D151,0-2
1,2328.0,2.0,Karori,health_services,social_deprivation_1-5,0,#22A784,2-4
2,0.0,4.0,Karori,health_services,social_deprivation_1-5,0,#29788E,4-6
3,0.0,6.0,Karori,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Karori,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Karori,health_services,social_deprivation_1-5,0,black,isolated
0,17937.0,0.0,Johnsonville,health_services,social_deprivation_1-5,0,#79D151,0-2
1,5685.0,2.0,Johnsonville,health_services,social_deprivation_1-5,0,#22A784,2-4
2,765.0,4.0,Johnsonville,health_services,social_deprivation_1-5,0,#29788E,4-6
3,0.0,6.0,Johnsonville,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Johnsonville,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Johnsonville,health_services,social_deprivation_1-5,0,black,isolated
0,15378.0,0.0,Newtown,health_services,social_deprivation_1-5,0,#79D151,0-2
1,9732.0,2.0,Newtown,health_services,social_deprivation_1-5,0,#22A784,2-4
2,0.0,4.0,Newtown,health_services,social_deprivation_1-5,0,#29788E,4-6
3,0.0,6.0,Newtown,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Newtown,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Newtown,health_services,social_deprivation_1-5,0,black,isolated
0,0.0,0.0,Stokes Valley,health_services,social_deprivation_1-5,0,#79D151,0-2
1,0.0,2.0,Stokes Valley,health_services,social_deprivation_1-5,0,#22A784,2-4
2,0.0,4.0,Stokes Valley,health_services,social_deprivation_1-5,0,#29788E,4-6
3,147.0,6.0,Stokes Valley,health_services,social_deprivation_1-5,0,#404387,6-8
4,4314.0,8.0,Stokes Valley,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Stokes Valley,health_services,social_deprivation_1-5,0,black,isolated
0,1005.0,0.0,Eastbourne,health_services,social_deprivation_1-5,0,#79D151,0-2
1,105.0,2.0,Eastbourne,health_services,social_deprivation_1-5,0,#22A784,2-4
2,198.0,4.0,Eastbourne,health_services,social_deprivation_1-5,0,#29788E,4-6
3,0.0,6.0,Eastbourne,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Eastbourne,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Eastbourne,health_services,social_deprivation_1-5,0,black,isolated
0,8097.0,0.0,Tawa,health_services,social_deprivation_1-5,0,#79D151,0-2
1,822.0,2.0,Tawa,health_services,social_deprivation_1-5,0,#22A784,2-4
2,0.0,4.0,Tawa,health_services,social_deprivation_1-5,0,#29788E,4-6
3,0.0,6.0,Tawa,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Tawa,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Tawa,health_services,social_deprivation_1-5,0,black,isolated
0,14430.0,0.0,Wellington Western Suburbs,health_services,social_deprivation_1-5,0,#79D151,0-2
1,3861.0,2.0,Wellington Western Suburbs,health_services,social_deprivation_1-5,0,#22A784,2-4
2,0.0,4.0,Wellington Western Suburbs,health_services,social_deprivation_1-5,0,#29788E,4-6
3,0.0,6.0,Wellington Western Suburbs,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Wellington Western Suburbs,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Wellington Western Suburbs,health_services,social_deprivation_1-5,0,black,isolated
0,6684.0,0.0,Wellington Southern Suburbs,health_services,social_deprivation_1-5,0,#79D151,0-2
1,1593.0,2.0,Wellington Southern Suburbs,health_services,social_deprivation_1-5,0,#22A784,2-4
2,198.0,4.0,Wellington Southern Suburbs,health_services,social_deprivation_1-5,0,#29788E,4-6
3,0.0,6.0,Wellington Southern Suburbs,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Wellington Southern Suburbs,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Wellington Southern Suburbs,health_services,social_deprivation_1-5,0,black,isolated
0,138.0,0.0,Wellington Airport,health_services,social_deprivation_1-5,0,#79D151,0-2
1,0.0,2.0,Wellington Airport,health_services,social_deprivation_1-5,0,#22A784,2-4
2,0.0,4.0,Wellington Airport,health_services,social_deprivation_1-5,0,#29788E,4-6
3,0.0,6.0,Wellington Airport,health_services,social_deprivation_1-5,0,#404387,6-8
4,0.0,8.0,Wellington Airport,health_services,social_deprivation_1-5,0,#440154,8+
5,0.0,,Wellington Airport,health_services,social_deprivation_1-5,0,black,isolated
0,166356.0,0.0,All,water,social_deprivation_1-5,0,#79D151,0-1
1,27147.0,1.0,All,water,social_deprivation_1-5,0,#22A784,1-2
2,1806.0,2.0,All,water,social_deprivation_1-5,0,#29788E,2-3
3,459.0,3.0,All,water,social_deprivation_1-5,0,#404387,3-4
4,25425.0,4.0,All,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,All,water,social_deprivation_1-5,0,black,isolated
0,0.0,0.0,Kapiti Coast,water,social_deprivation_1-5,0,#79D151,0-1
1,0.0,1.0,Kapiti Coast,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Kapiti Coast,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Kapiti Coast,water,social_deprivation_1-5,0,#404387,3-4
4,24690.0,4.0,Kapiti Coast,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Kapiti Coast,water,social_deprivation_1-5,0,black,isolated
0,0.0,0.0,Levin,water,social_deprivation_1-5,0,#79D151,0-1
1,0.0,1.0,Levin,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Levin,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Levin,water,social_deprivation_1-5,0,#404387,3-4
4,387.0,4.0,Levin,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Levin,water,social_deprivation_1-5,0,black,isolated
0,8613.0,0.0,Miramar,water,social_deprivation_1-5,0,#79D151,0-1
1,720.0,1.0,Miramar,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Miramar,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Miramar,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Miramar,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Miramar,water,social_deprivation_1-5,0,black,isolated
0,13365.0,0.0,Upper Hutt,water,social_deprivation_1-5,0,#79D151,0-1
1,4770.0,1.0,Upper Hutt,water,social_deprivation_1-5,0,#22A784,1-2
2,1179.0,2.0,Upper Hutt,water,social_deprivation_1-5,0,#29788E,2-3
3,459.0,3.0,Upper Hutt,water,social_deprivation_1-5,0,#404387,3-4
4,348.0,4.0,Upper Hutt,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Upper Hutt,water,social_deprivation_1-5,0,black,isolated
0,1743.0,0.0,Wainuiomata,water,social_deprivation_1-5,0,#79D151,0-1
1,768.0,1.0,Wainuiomata,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Wainuiomata,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Wainuiomata,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Wainuiomata,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Wainuiomata,water,social_deprivation_1-5,0,black,isolated
0,8433.0,0.0,Wellington RORO & CBD,water,social_deprivation_1-5,0,#79D151,0-1
1,1128.0,1.0,Wellington RORO & CBD,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Wellington RORO & CBD,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Wellington RORO & CBD,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Wellington RORO & CBD,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Wellington RORO & CBD,water,social_deprivation_1-5,0,black,isolated
0,3075.0,0.0,Porirua North,water,social_deprivation_1-5,0,#79D151,0-1
1,1338.0,1.0,Porirua North,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Porirua North,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Porirua North,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Porirua North,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Porirua North,water,social_deprivation_1-5,0,black,isolated
0,717.0,0.0,Titahi Bay,water,social_deprivation_1-5,0,#79D151,0-1
1,435.0,1.0,Titahi Bay,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Titahi Bay,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Titahi Bay,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Titahi Bay,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Titahi Bay,water,social_deprivation_1-5,0,black,isolated
0,10938.0,0.0,Porirua East,water,social_deprivation_1-5,0,#79D151,0-1
1,4707.0,1.0,Porirua East,water,social_deprivation_1-5,0,#22A784,1-2
2,300.0,2.0,Porirua East,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Porirua East,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Porirua East,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Porirua East,water,social_deprivation_1-5,0,black,isolated
0,0.0,0.0,Porirua CBD,water,social_deprivation_1-5,0,#79D151,0-1
1,0.0,1.0,Porirua CBD,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Porirua CBD,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Porirua CBD,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Porirua CBD,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Porirua CBD,water,social_deprivation_1-5,0,black,isolated
0,3480.0,0.0,Petone,water,social_deprivation_1-5,0,#79D151,0-1
1,0.0,1.0,Petone,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Petone,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Petone,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Petone,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Petone,water,social_deprivation_1-5,0,black,isolated
0,15495.0,0.0,Lower Hutt,water,social_deprivation_1-5,0,#79D151,0-1
1,990.0,1.0,Lower Hutt,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Lower Hutt,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Lower Hutt,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Lower Hutt,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Lower Hutt,water,social_deprivation_1-5,0,black,isolated
0,6189.0,0.0,Western Hutt Hills,water,social_deprivation_1-5,0,#79D151,0-1
1,0.0,1.0,Western Hutt Hills,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Western Hutt Hills,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Western Hutt Hills,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Western Hutt Hills,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Western Hutt Hills,water,social_deprivation_1-5,0,black,isolated
0,14571.0,0.0,Karori,water,social_deprivation_1-5,0,#79D151,0-1
1,1266.0,1.0,Karori,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Karori,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Karori,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Karori,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Karori,water,social_deprivation_1-5,0,black,isolated
0,20106.0,0.0,Johnsonville,water,social_deprivation_1-5,0,#79D151,0-1
1,4152.0,1.0,Johnsonville,water,social_deprivation_1-5,0,#22A784,1-2
2,129.0,2.0,Johnsonville,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Johnsonville,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Johnsonville,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Johnsonville,water,social_deprivation_1-5,0,black,isolated
0,23982.0,0.0,Newtown,water,social_deprivation_1-5,0,#79D151,0-1
1,1128.0,1.0,Newtown,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Newtown,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Newtown,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Newtown,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Newtown,water,social_deprivation_1-5,0,black,isolated
0,3528.0,0.0,Stokes Valley,water,social_deprivation_1-5,0,#79D151,0-1
1,933.0,1.0,Stokes Valley,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Stokes Valley,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Stokes Valley,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Stokes Valley,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Stokes Valley,water,social_deprivation_1-5,0,black,isolated
0,1308.0,0.0,Eastbourne,water,social_deprivation_1-5,0,#79D151,0-1
1,0.0,1.0,Eastbourne,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Eastbourne,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Eastbourne,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Eastbourne,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Eastbourne,water,social_deprivation_1-5,0,black,isolated
0,7578.0,0.0,Tawa,water,social_deprivation_1-5,0,#79D151,0-1
1,1341.0,1.0,Tawa,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Tawa,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Tawa,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Tawa,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Tawa,water,social_deprivation_1-5,0,black,isolated
0,16083.0,0.0,Wellington Western Suburbs,water,social_deprivation_1-5,0,#79D151,0-1
1,2208.0,1.0,Wellington Western Suburbs,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Wellington Western Suburbs,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Wellington Western Suburbs,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Wellington Western Suburbs,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Wellington Western Suburbs,water,social_deprivation_1-5,0,black,isolated
0,7152.0,0.0,Wellington Southern Suburbs,water,social_deprivation_1-5,0,#79D151,0-1
1,1125.0,1.0,Wellington Southern Suburbs,water,social_deprivation_1-5,0,#22A784,1-2
2,198.0,2.0,Wellington Southern Suburbs,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Wellington Southern Suburbs,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Wellington Southern Suburbs,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Wellington Southern Suburbs,water,social_deprivation_1-5,0,black,isolated
0,0.0,0.0,Wellington Airport,water,social_deprivation_1-5,0,#79D151,0-1
1,138.0,1.0,Wellington Airport,water,social_deprivation_1-5,0,#22A784,1-2
2,0.0,2.0,Wellington Airport,water,social_deprivation_1-5,0,#29788E,2-3
3,0.0,3.0,Wellington Airport,water,social_deprivation_1-5,0,#404387,3-4
4,0.0,4.0,Wellington Airport,water,social_deprivation_1-5,0,#440154,4+
5,0.0,,Wellington Airport,water,social_deprivation_1-5,0,black,isolated
0,148089.0,0.0,All,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,13077.0,2.0,All,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,654.0,4.0,All,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,606.0,6.0,All,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,225.0,8.0,All,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,All,EM_hubs,social_deprivation_6-10,0,black,isolated
0,9906.0,0.0,Kapiti Coast,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,3948.0,2.0,Kapiti Coast,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,654.0,4.0,Kapiti Coast,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,516.0,6.0,Kapiti Coast,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,225.0,8.0,Kapiti Coast,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Kapiti Coast,EM_hubs,social_deprivation_6-10,0,black,isolated
0,3387.0,0.0,Levin,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,1761.0,2.0,Levin,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Levin,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Levin,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Levin,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Levin,EM_hubs,social_deprivation_6-10,0,black,isolated
0,4419.0,0.0,Miramar,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,591.0,2.0,Miramar,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Miramar,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Miramar,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Miramar,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Miramar,EM_hubs,social_deprivation_6-10,0,black,isolated
0,20526.0,0.0,Upper Hutt,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,1140.0,2.0,Upper Hutt,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Upper Hutt,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Upper Hutt,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Upper Hutt,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Upper Hutt,EM_hubs,social_deprivation_6-10,0,black,isolated
0,15174.0,0.0,Wainuiomata,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Wainuiomata,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Wainuiomata,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Wainuiomata,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Wainuiomata,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Wainuiomata,EM_hubs,social_deprivation_6-10,0,black,isolated
0,14238.0,0.0,Wellington RORO & CBD,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Wellington RORO & CBD,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Wellington RORO & CBD,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Wellington RORO & CBD,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Wellington RORO & CBD,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Wellington RORO & CBD,EM_hubs,social_deprivation_6-10,0,black,isolated
0,0.0,0.0,Porirua North,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Porirua North,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Porirua North,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Porirua North,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Porirua North,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Porirua North,EM_hubs,social_deprivation_6-10,0,black,isolated
0,4272.0,0.0,Titahi Bay,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Titahi Bay,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Titahi Bay,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Titahi Bay,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Titahi Bay,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Titahi Bay,EM_hubs,social_deprivation_6-10,0,black,isolated
0,17199.0,0.0,Porirua East,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,1734.0,2.0,Porirua East,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Porirua East,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Porirua East,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Porirua East,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Porirua East,EM_hubs,social_deprivation_6-10,0,black,isolated
0,0.0,0.0,Porirua CBD,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,2337.0,2.0,Porirua CBD,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Porirua CBD,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Porirua CBD,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Porirua CBD,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Porirua CBD,EM_hubs,social_deprivation_6-10,0,black,isolated
0,2367.0,0.0,Petone,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Petone,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Petone,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Petone,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Petone,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Petone,EM_hubs,social_deprivation_6-10,0,black,isolated
0,27855.0,0.0,Lower Hutt,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,267.0,2.0,Lower Hutt,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Lower Hutt,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Lower Hutt,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Lower Hutt,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Lower Hutt,EM_hubs,social_deprivation_6-10,0,black,isolated
0,234.0,0.0,Western Hutt Hills,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Western Hutt Hills,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Western Hutt Hills,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Western Hutt Hills,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Western Hutt Hills,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Western Hutt Hills,EM_hubs,social_deprivation_6-10,0,black,isolated
0,1869.0,0.0,Karori,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Karori,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Karori,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Karori,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Karori,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Karori,EM_hubs,social_deprivation_6-10,0,black,isolated
0,6303.0,0.0,Johnsonville,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Johnsonville,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Johnsonville,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Johnsonville,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Johnsonville,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Johnsonville,EM_hubs,social_deprivation_6-10,0,black,isolated
0,12654.0,0.0,Newtown,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,849.0,2.0,Newtown,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Newtown,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Newtown,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Newtown,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Newtown,EM_hubs,social_deprivation_6-10,0,black,isolated
0,3852.0,0.0,Stokes Valley,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,303.0,2.0,Stokes Valley,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Stokes Valley,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Stokes Valley,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Stokes Valley,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Stokes Valley,EM_hubs,social_deprivation_6-10,0,black,isolated
0,0.0,0.0,Eastbourne,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Eastbourne,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Eastbourne,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Eastbourne,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Eastbourne,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Eastbourne,EM_hubs,social_deprivation_6-10,0,black,isolated
0,2397.0,0.0,Tawa,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Tawa,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Tawa,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,90.0,6.0,Tawa,EM_hubs,social_deprivation_6-10,0,#404387,6-8
4,0.0,8.0,Tawa,EM_hubs,social_deprivation_6-10,0,#440154,8+
5,0.0,,Tawa,EM_hubs,social_deprivation_6-10,0,black,isolated
0,468.0,0.0,Wellington Western Suburbs,EM_hubs,social_deprivation_6-10,0,#79D151,0-2
1,0.0,2.0,Wellington Western Suburbs,EM_hubs,social_deprivation_6-10,0,#22A784,2-4
2,0.0,4.0,Wellington Western Suburbs,EM_hubs,social_deprivation_6-10,0,#29788E,4-6
3,0.0,6.0,Wellington Western Suburbs,EM_hubs,social_deprivation_6-10,0,#404387,6-8
